類別,商品編號,商品名稱,單位,銷售數量,實銷金額
小點類,01001,生豆包,份,3423.0,61596.0
小點類,01002,百頁豆腐,份,2125.0,53125.0
小點類,01004,大豆干(黑),份,3403.0,40788.0
小點類,01005,小豆干,份,2214.0,17688.0
小點類,01006,米血,份,2155.0,25860.0
小點類,01007,大豆皮,份,2475.0,61825.0
小點類,01012,龍蝦沙拉,顆,1209.0,12050.0
小點類,01013,德式香腸,顆,558.0,16124.0
小點類,01027,角羅,份,651.0,13000.0
小點類,01032,海帶,份,3050.0,36566.0
小點類,01033,鳥蛋,顆,4507.0,22485.0
小點類,01035,滷蛋,顆,1988.0,29775.0
蔬菜類,02001,高麗菜,份,128.0,3840.0
蔬菜類,02002,花椰菜,份,911.0,22750.0
蔬菜類,02003,四季豆,份,83.0,2075.0
蔬菜類,02005,大陸妹,份,38.0,1140.0
蔬菜類,02009,金針菇,份,69.0,2070.0
蔬菜類,02011,白蘿蔔,份,1161.0,17415.0
蔬菜類,02013,玉米筍,份,1037.0,25850.0
蔬菜類,02018,青江菜,份,27.0,810.0
蔬菜類,02020,水蓮,份,2094.0,52300.0
蔬菜類,02023,娃娃菜,份,1103.0,27500.0
蔬菜類,02025,櫛瓜,份,811.0,28350.0
肉類,03002,無骨大雞腿,份,267.0,20935.0
肉類,03003,鴨胗,份,994.0,24850.0
肉類,03004,鴨肝,份,694.0,10378.5
肉類,03005,鴨心,顆,1427.0,14239.0
肉類,03006,生腸,份,260.0,5180.0
肉類,03007,脆腸,份,179.0,4475.0
肉類,03008,氣球,份,128.0,3200.0
肉類,03010,豬脆管,份,510.0,12725.0
肉類,03016,豬皮,份,1026.0,20520.0
肉類,03017,豬耳朵,份,1766.0,35280.0
肉類,03018,豬頭皮,份,525.0,10416.0
秤重肉類,04000,秤重肉類(每公克1元),克,205861.0,205639.5
秤重肉類,04001,菊花肉,份,1250.0,0.0
秤重肉類,04002,豬肥腸,份,826.0,0.0
秤重肉類,04004,豬腳筋,份,469.0,0.0
