類別,商品編號,商品名稱,單位,銷售數量,實銷金額
小點類,01001,生豆包,份,2832.0,42420.0
小點類,01002,百頁豆腐,份,2007.0,40060.0
小點類,01004,大豆干(黑),份,2852.0,34224.0
小點類,01005,小豆干,份,1490.0,11920.0
小點類,01006,米血,份,2038.0,24420.0
小點類,01007,大豆皮,份,2133.0,53275.0
小點類,01012,龍蝦沙拉,顆,982.0,9820.0
小點類,01013,德式香腸,顆,458.0,13224.0
小點類,01027,角羅,份,497.0,9920.0
小點類,01032,海帶,份,3077.0,30740.0
小點類,01033,鳥蛋,顆,4318.0,21560.0
小點類,01035,滷蛋,顆,1719.0,25785.0
蔬菜類,02001,高麗菜,份,121.0,3630.0
蔬菜類,02002,花椰菜,份,748.0,18675.0
蔬菜類,02003,四季豆,份,337.0,8375.0
蔬菜類,02005,大陸妹,份,40.0,1200.0
蔬菜類,02011,白蘿蔔,份,1111.0,16635.0
蔬菜類,02013,玉米筍,份,863.0,21575.0
蔬菜類,02018,青江菜,份,18.0,540.0
蔬菜類,02020,水蓮,份,1599.0,39875.0
蔬菜類,02023,娃娃菜,份,903.0,22550.0
蔬菜類,02025,櫛瓜,份,669.0,23275.0
肉類,03002,無骨大雞腿,份,296.0,23305.0
肉類,03003,鴨胗,份,872.0,21750.0
肉類,03004,鴨肝,份,666.0,9960.0
肉類,03005,鴨心,顆,1061.0,10540.0
肉類,03006,生腸,份,217.0,4320.0
肉類,03007,脆腸,份,177.0,4375.0
肉類,03008,氣球,份,99.0,2425.0
肉類,03010,豬脆管,份,441.0,10900.0
肉類,03011,豬心,份,4.0,140.0
肉類,03016,豬皮,份,994.0,19860.0
肉類,03017,豬耳朵,份,1607.0,32040.0
肉類,03018,豬頭皮,份,462.0,9220.0
秤重肉類,04000,秤重肉類(每公克1元),克,194126.0,193765.0
秤重肉類,04001,菊花肉,份,507.0,0.0
秤重肉類,04002,豬肥腸,份,436.0,0.0
秤重肉類,04004,豬腳筋,份,277.0,0.0
秤重肉類,04005,肝連,份,351.0,0.0
秤重肉類,04007,腱子肉,份,693.0,0.0
秤重肉類,04009,月亮軟骨,份,198.0,0.0
麵類,01010,老油條,份,1063.0,31770.0
麵類,05003,王子麵,份,2488.0,37290.0
麵類,05005,祖傳麻醬麵,份,1679.0,58660.0
麵類,05006,丹瓦潑辣麵,份,1677.0,67000.0
麵類,05010,椒點香麻麵,份,382.0,20900.0
麵類,05011,油蔥香拌麵,份,1869.0,93200.0
手工類,06001,四川麻辣丸,份,288.0,5760.0
手工類,06002,嚴選鴨肉丸3顆,份,1043.0,18756.0
手工類,06003,手工虱目魚捲,份,232.0,9009.0
手工類,06004,香菇功夫丸,份,478.0,7155.0
手工類,06006,手工甜不辣,顆,2077.0,24900.0
茶飲,07001,沁露四季春,杯,268.0,11925.0
茶飲,07002,丹瓦紅茶,杯,519.0,20640.0
茶飲,07003,蕎麥拿鐵,杯,53.0,3710.0
茶飲,07004,青檸冬瓜,杯,205.0,11220.0
茶飲,07005,瓦焙厚奶茶,杯,239.0,13090.0
茶飲,07006,冬瓜拿鐵,杯,65.0,4225.0
茶飲,07007,紅茶拿鐵,杯,197.0,12545.0
茶飲,07008,鐵觀音粉粿奶茶,杯,38.0,2850.0
茶飲,07009,厚焙鐵觀音,杯,70.0,3105.0
茶飲,07010,厚焙鐵觀音奶茶,杯,238.0,14220.0
茶飲,07011,黃金蕎麥,杯,239.0,10575.0
茶飲,07012,柳橙四季春,杯,44.0,3225.0
茶飲,07013,黃金蕎麥奶茶,杯,97.0,5700.0
茶飲,07015,鐵觀音拿鐵,杯,70.0,4900.0
茶飲,07016,蜜桃果粒冰茶,杯,53.0,4420.0
茶飲,07018,黃金粉粿喬麥,杯,118.0,7080.0
茶飲,07019,黃金粉粿厚奶茶,杯,48.0,3290.0
茶飲,07020,黃金粉粿蕎麥奶茶,杯,302.0,22425.0
茶飲,07022,冬瓜鐵觀音,杯,119.0,5950.0
茶飲,07023,葡萄柚輕熟烏龍,杯,78.0,5850.0
茶飲,07024,青檸四季春,杯,260.0,14190.0
茶飲,07025,桂花四季春,杯,138.0,7535.0
茶飲,07026,桂花蕎麥,杯,90.0,4895.0
茶飲,07027,青檸蜜茶,杯,175.0,9350.0
茶飲,07029,雪綿輕熟烏龍,杯,51.0,3825.0
茶飲,07031,輕熟烏龍,杯,37.0,1700.0
茶飲,07033,雪綿厚焙鐵觀音,杯,22.0,1470.0
茶飲,07034,雪綿黃金蕎麥,杯,23.0,1610.0
茶飲,07035,雪綿丹瓦紅茶,杯,62.0,3965.0
茶飲,07036,雪綿四季春,杯,52.0,3570.0
茶飲,07038,波霸紅茶,杯,122.0,6100.0
茶飲,07039,波霸四季春,杯,169.0,9240.0
茶飲,07040,波霸奶茶,杯,895.0,57850.0
茶飲,07041,波霸鐵觀音奶茶,杯,78.0,5460.0
茶飲,07042,波霸烏龍奶茶,杯,143.0,10575.0
茶飲,07043,波霸紅茶拿鐵,杯,184.0,13725.0
秤重蔬菜,V1001,蔬菜(每公克0.3元),克,788913.0,236302.5
