類別,商品編號,商品名稱,單位,銷售數量,實銷金額
小點類,01001,生豆包,份,970.0,17460.0
小點類,01002,百頁豆腐,份,520.0,12975.0
小點類,01004,大豆干(黑),份,1026.0,12312.0
小點類,01005,小豆干,份,778.0,6224.0
小點類,01006,米血,份,700.0,8400.0
小點類,01007,大豆皮,份,1388.0,35900.0
小點類,01012,龍蝦沙拉,顆,395.0,3910.0
小點類,01013,德式香腸,顆,183.0,5307.0
小點類,01027,角羅,份,192.0,3840.0
小點類,01032,海帶,份,1008.0,12084.0
小點類,01035,滷蛋,顆,709.0,10605.0
蔬菜類,02001,高麗菜,份,64.0,1920.0
蔬菜類,02002,花椰菜,份,313.0,7775.0
蔬菜類,02005,大陸妹,份,22.0,660.0
蔬菜類,02009,金針菇,份,30.0,900.0
蔬菜類,02011,白蘿蔔,份,461.0,6900.0
蔬菜類,02013,玉米筍,份,377.0,9400.0
蔬菜類,02018,青江菜,份,19.0,570.0
蔬菜類,02023,娃娃菜,份,513.0,12800.0
蔬菜類,02025,櫛瓜,份,304.0,10640.0
肉類,03002,無骨大雞腿,份,100.0,7821.0
肉類,03003,鴨胗,份,308.0,7700.0
肉類,03004,鴨肝,份,214.0,3210.0
肉類,03005,鴨心,顆,454.0,4520.0
肉類,03006,生腸,份,80.0,1600.0
肉類,03007,脆腸,份,24.0,600.0
肉類,03008,氣球,份,41.0,1025.0
肉類,03010,豬脆管,份,155.0,3850.0
肉類,03016,豬皮,份,354.0,7080.0
肉類,03017,豬耳朵,份,576.0,11500.0
肉類,03018,豬頭皮,份,172.0,3440.0
秤重肉類,04000,秤重肉類(每公克1元),克,70824.0,70824.0
秤重肉類,04001,菊花肉,份,512.0,0.0
秤重肉類,04002,豬肥腸,份,276.0,0.0
秤重肉類,04004,豬腳筋,份,241.0,0.0
秤重肉類,04005,肝連,份,315.0,0.0
秤重肉類,04007,腱子肉,份,351.0,0.0
秤重肉類,04009,月亮軟骨,份,142.0,0.0
麵類,01010,老油條,份,716.0,21810.0
麵類,05003,王子麵,份,1353.0,23026.0
麵類,05005,祖傳麻醬麵,份,846.0,29540.0
麵類,05006,丹瓦潑辣麵,份,957.0,38200.0
麵類,05010,椒點香麻麵,份,252.0,13750.0
麵類,05011,油蔥香拌麵,份,1108.0,55100.0
手工類,06001,四川麻辣丸,份,97.0,1940.0
手工類,06002,嚴選鴨肉丸3顆,份,413.0,7434.0
手工類,06003,手工虱目魚捲,份,36.0,1404.0
手工類,06004,香菇功夫丸,份,151.0,2265.0
手工類,06006,手工甜不辣,顆,376.0,5640.0
茶飲,07001,沁露四季春,杯,213.0,9540.0
茶飲,07002,丹瓦紅茶,杯,281.0,11120.0
茶飲,07003,蕎麥拿鐵,杯,34.0,2380.0
茶飲,07004,青檸冬瓜,杯,146.0,7975.0
茶飲,07005,瓦焙厚奶茶,杯,125.0,6875.0
茶飲,07006,冬瓜拿鐵,杯,45.0,2925.0
茶飲,07007,紅茶拿鐵,杯,126.0,8105.0
茶飲,07008,鐵觀音粉粿奶茶,杯,19.0,1425.0
茶飲,07009,厚焙鐵觀音,杯,48.0,2160.0
茶飲,07010,厚焙鐵觀音奶茶,杯,108.0,6420.0
茶飲,07011,黃金蕎麥,杯,170.0,7560.0
茶飲,07013,黃金蕎麥奶茶,杯,35.0,2040.0
茶飲,07015,鐵觀音拿鐵,杯,35.0,2450.0
茶飲,07018,黃金粉粿喬麥,杯,101.0,6000.0
茶飲,07019,黃金粉粿厚奶茶,杯,31.0,2100.0
茶飲,07020,黃金粉粿蕎麥奶茶,杯,240.0,17775.0
茶飲,07022,冬瓜鐵觀音,杯,127.0,6300.0
茶飲,07024,青檸四季春,杯,302.0,16555.0
茶飲,07025,桂花四季春,杯,118.0,6490.0
茶飲,07026,桂花蕎麥,杯,65.0,3575.0
茶飲,07027,青檸蜜茶,杯,160.0,8690.0
茶飲,07029,雪綿輕熟烏龍,杯,58.0,4275.0
茶飲,07031,輕熟烏龍,杯,43.0,2100.0
茶飲,07033,雪綿厚焙鐵觀音,杯,53.0,3570.0
茶飲,07034,雪綿黃金蕎麥,杯,24.0,1680.0
茶飲,07035,雪綿丹瓦紅茶,杯,43.0,2730.0
茶飲,07036,雪綿四季春,杯,14.0,910.0
茶飲,07038,波霸紅茶,杯,82.0,4100.0
茶飲,07039,波霸四季春,杯,43.0,2365.0
茶飲,07040,波霸奶茶,杯,409.0,26325.0
茶飲,07041,波霸鐵觀音奶茶,杯,138.0,9660.0
茶飲,07042,波霸烏龍奶茶,杯,10.0,750.0
茶飲,07043,波霸紅茶拿鐵,杯,162.0,11850.0
茶飲,07046,烏龍拿鐵,杯,43.0,3075.0
茶飲,07047,波霸烏龍拿鐵,杯,24.0,2040.0
秤重蔬菜,V1001,蔬菜(每公克0.3元),克,290166.0,86930.1
秤重蔬菜,V1002,高麗菜,份,1165.0,0.0
秤重蔬菜,V1003,青江菜,份,295.0,0.0
秤重蔬菜,V1004,大陸妹,份,296.0,0.0
秤重蔬菜,V1005,奶油白菜,份,1062.0,0.0
秤重蔬菜,V1006,菠菜,份,341.0,0.0
秤重蔬菜,V1007,A菜,份,1.0,0.0
秤重蔬菜,V1009,空心菜,份,570.0,0.0
秤重蔬菜,V1010,地瓜葉,份,294.0,0.0
秤重蔬菜,V1011,杏菜,份,28.0,0.0
秤重蔬菜,V1012,油菜,份,43.0,0.0
秤重蔬菜,V1013,尼龍菜,份,154.0,0.0
秤重蔬菜,V2001,香菇,份,312.0,0.0
秤重蔬菜,V2002,杏鮑菇,份,513.0,0.0
秤重蔬菜,V2003,袖珍菇,份,309.0,0.0
秤重蔬菜,V2005,金針菇,份,594.0,0.0
秤重蔬菜,V2006,川耳,份,643.0,0.0
功夫菜,09001,黃金炸翅刀(梅醬),份,698.0,67246.0
功夫菜,09002,黃金炸翅刀(瓦製辣醬),份,380.0,36279.0
功夫菜,09003,經典炸脆薯,份,72.0,6120.0
功夫菜,09008,黃金炸翅刀,份,4.0,392.0
功夫菜,09012,米香鹹酥雞,份,163.0,19968.0
功夫菜,09013,皮蛋炸豆腐,份,253.0,13475.0
功夫菜,09014,松露起司薯條,份,53.0,6144.0
調味,10002,不要蔥,份,8.0,0.0
調味,10003,不要酸菜,份,12.0,0.0
調味,10005,不要醬,份,5.0,0.0
外帶肉類,11003,鴨胗,份,159.0,5170.0
外帶肉類,11004,鴨肝,份,10.0,150.0
外帶肉類,11005,鴨心,顆,20.0,200.0
