類別,商品編號,商品名稱,單位,銷售數量,實銷金額
小點類,01001,生豆包,份,2896.0,51966.0
小點類,01002,百頁豆腐,份,1595.0,39725.0
小點類,01004,大豆干(黑),份,2906.0,34788.0
小點類,01005,小豆干,份,2095.0,16752.0
小點類,01006,米血,份,1909.0,22884.0
小點類,01007,大豆皮,份,2101.0,52425.0
小點類,01012,龍蝦沙拉,顆,1097.0,10920.0
小點類,01013,德式香腸,顆,388.0,11252.0
小點類,01027,角羅,份,593.0,11860.0
小點類,01032,海帶,份,2891.0,34608.0
小點類,01033,鳥蛋,顆,4253.0,21205.0
小點類,01035,滷蛋,顆,1935.0,29010.0
蔬菜類,02001,高麗菜,份,145.0,4350.0
蔬菜類,02002,花椰菜,份,880.0,21875.0
蔬菜類,02005,大陸妹,份,48.0,1440.0
蔬菜類,02009,金針菇,份,61.0,1830.0
蔬菜類,02011,白蘿蔔,份,1134.0,16995.0
蔬菜類,02013,玉米筍,份,988.0,24625.0
蔬菜類,02018,青江菜,份,34.0,1020.0
蔬菜類,02020,水蓮,份,1883.0,47025.0
蔬菜類,02023,娃娃菜,份,1133.0,28225.0
蔬菜類,02025,櫛瓜,份,690.0,24150.0
肉類,03002,無骨大雞腿,份,268.0,21093.0
肉類,03003,鴨胗,份,954.0,23850.0
肉類,03004,鴨肝,份,611.0,9165.0
肉類,03005,鴨心,顆,1376.0,13720.0
肉類,03006,生腸,份,220.0,4360.0
肉類,03007,脆腸,份,117.0,2925.0
肉類,03008,氣球,份,116.0,2900.0
肉類,03010,豬脆管,份,460.0,11400.0
肉類,03016,豬皮,份,969.0,19280.0
肉類,03017,豬耳朵,份,1633.0,32580.0
肉類,03018,豬頭皮,份,533.0,10660.0
秤重肉類,04000,秤重肉類(每公克1元),克,185786.0,185359.0
秤重肉類,04001,菊花肉,份,1191.0,0.0
秤重肉類,04002,豬肥腸,份,931.0,0.0
秤重肉類,04004,豬腳筋,份,556.0,0.0
秤重肉類,04005,肝連,份,876.0,0.0
秤重肉類,04007,腱子肉,份,1209.0,0.0
秤重肉類,04009,月亮軟骨,份,319.0,0.0
麵類,01010,老油條,份,974.0,29190.0
麵類,05003,王子麵,份,2707.0,40605.0
麵類,05005,祖傳麻醬麵,份,1416.0,49525.0
麵類,05006,丹瓦潑辣麵,份,1565.0,62490.0
麵類,05010,椒點香麻麵,份,417.0,22935.0
麵類,05011,油蔥香拌麵,份,1901.0,94750.0
手工類,06001,四川麻辣丸,份,294.0,5880.0
手工類,06002,嚴選鴨肉丸3顆,份,976.0,17478.0
手工類,06003,手工虱目魚捲,份,231.0,9009.0
手工類,06004,香菇功夫丸,份,489.0,7335.0
手工類,06006,手工甜不辣,顆,1658.0,24840.0
茶飲,07001,沁露四季春,杯,359.0,15975.0
茶飲,07002,丹瓦紅茶,杯,437.0,17320.0
茶飲,07003,蕎麥拿鐵,杯,56.0,3850.0
茶飲,07004,青檸冬瓜,杯,247.0,13585.0
茶飲,07005,瓦焙厚奶茶,杯,172.0,9405.0
茶飲,07006,冬瓜拿鐵,杯,77.0,5005.0
茶飲,07007,紅茶拿鐵,杯,230.0,14755.0
茶飲,07008,鐵觀音粉粿奶茶,杯,28.0,2025.0
茶飲,07009,厚焙鐵觀音,杯,61.0,2745.0
茶飲,07010,厚焙鐵觀音奶茶,杯,189.0,11280.0
茶飲,07011,黃金蕎麥,杯,209.0,9270.0
茶飲,07013,黃金蕎麥奶茶,杯,127.0,7620.0
茶飲,07015,鐵觀音拿鐵,杯,74.0,5180.0
茶飲,07018,黃金粉粿喬麥,杯,188.0,11220.0
茶飲,07019,黃金粉粿厚奶茶,杯,57.0,3990.0
茶飲,07020,黃金粉粿蕎麥奶茶,杯,329.0,24300.0
茶飲,07022,冬瓜鐵觀音,杯,194.0,9650.0
茶飲,07024,青檸四季春,杯,415.0,22825.0
茶飲,07025,桂花四季春,杯,162.0,8910.0
茶飲,07026,桂花蕎麥,杯,85.0,4675.0
茶飲,07027,青檸蜜茶,杯,262.0,14190.0
茶飲,07029,雪綿輕熟烏龍,杯,79.0,5850.0
茶飲,07031,輕熟烏龍,杯,80.0,4000.0
茶飲,07033,雪綿厚焙鐵觀音,杯,102.0,7140.0
茶飲,07034,雪綿黃金蕎麥,杯,33.0,2310.0
茶飲,07035,雪綿丹瓦紅茶,杯,73.0,4680.0
茶飲,07036,雪綿四季春,杯,34.0,2380.0
茶飲,07038,波霸紅茶,杯,138.0,6850.0
茶飲,07039,波霸四季春,杯,105.0,5775.0
茶飲,07040,波霸奶茶,杯,705.0,45695.0
茶飲,07041,波霸鐵觀音奶茶,杯,361.0,25270.0
茶飲,07042,波霸烏龍奶茶,杯,33.0,2475.0
茶飲,07043,波霸紅茶拿鐵,杯,290.0,21730.0
茶飲,07046,烏龍拿鐵,杯,95.0,6975.0
茶飲,07047,波霸烏龍拿鐵,杯,25.0,2125.0
秤重蔬菜,V1001,蔬菜(每公克0.3元),克,870988.0,260771.7
秤重蔬菜,V1002,高麗菜,份,4893.0,0.0
秤重蔬菜,V1003,青江菜,份,1370.0,0.0
