類別,商品編號,商品名稱,單位,銷售數量,實銷金額
小點類,01001,生豆包,份,2843.0,51066.0
小點類,01002,百頁豆腐,份,1681.0,41975.0
小點類,01004,大豆干(黑),份,2889.0,34608.0
小點類,01005,小豆干,份,1983.0,15856.0
小點類,01006,米血,份,1963.0,23520.0
小點類,01007,大豆皮,份,2235.0,55850.0
小點類,01012,龍蝦沙拉,顆,975.0,9730.0
小點類,01013,德式香腸,顆,508.0,14732.0
小點類,01027,角羅,份,589.0,11760.0
小點類,01032,海帶,份,2723.0,32652.0
小點類,01033,鳥蛋,顆,4583.0,22905.0
小點類,01035,滷蛋,顆,1835.0,27465.0
蔬菜類,02001,高麗菜,份,143.0,4290.0
蔬菜類,02002,花椰菜,份,837.0,20900.0
蔬菜類,02005,大陸妹,份,42.0,1260.0
蔬菜類,02009,金針菇,份,94.0,2820.0
蔬菜類,02011,白蘿蔔,份,1147.0,17190.0
蔬菜類,02013,玉米筍,份,973.0,24250.0
蔬菜類,02018,青江菜,份,21.0,630.0
蔬菜類,02020,水蓮,份,1869.0,46650.0
蔬菜類,02023,娃娃菜,份,1100.0,27450.0
蔬菜類,02025,櫛瓜,份,694.0,24290.0
肉類,03002,無骨大雞腿,份,261.0,20540.0
肉類,03003,鴨胗,份,901.0,22525.0
肉類,03004,鴨肝,份,687.0,10305.0
肉類,03005,鴨心,顆,1510.0,15100.0
肉類,03006,生腸,份,283.0,5660.0
肉類,03007,脆腸,份,156.0,3900.0
肉類,03008,氣球,份,104.0,2600.0
肉類,03010,豬脆管,份,470.0,11700.0
肉類,03016,豬皮,份,1010.0,20160.0
肉類,03017,豬耳朵,份,1504.0,30060.0
肉類,03018,豬頭皮,份,537.0,10680.0
秤重肉類,04000,秤重肉類(每公克1元),克,186434.0,186245.0
秤重肉類,04001,菊花肉,份,2386.0,0.0
秤重肉類,04002,豬肥腸,份,1001.0,0.0
秤重肉類,04004,豬腳筋,份,717.0,0.0
秤重肉類,04005,肝連,份,1285.0,0.0
秤重肉類,04007,腱子肉,份,1267.0,0.0
秤重肉類,04009,月亮軟骨,份,749.0,0.0
麵類,01010,老油條,份,1069.0,32070.0
麵類,05003,王子麵,份,2897.0,43425.0
麵類,05005,祖傳麻醬麵,份,1538.0,53690.0
麵類,05006,丹瓦潑辣麵,份,1683.0,67240.0
麵類,05010,椒點香麻麵,份,341.0,18700.0
麵類,05011,油蔥香拌麵,份,1765.0,88200.0
手工類,06001,四川麻辣丸,份,321.0,6400.0
手工類,06002,嚴選鴨肉丸3顆,份,1012.0,18198.0
手工類,06003,手工虱目魚捲,份,183.0,7137.0
手工類,06004,香菇功夫丸,份,491.0,7350.0
手工類,06006,手工甜不辣,顆,1847.0,27645.0
茶飲,07001,沁露四季春,杯,308.0,13770.0
茶飲,07002,丹瓦紅茶,杯,474.0,18840.0
茶飲,07003,蕎麥拿鐵,杯,44.0,3080.0
茶飲,07004,青檸冬瓜,杯,227.0,12365.0
茶飲,07005,瓦焙厚奶茶,杯,238.0,12970.0
茶飲,07006,冬瓜拿鐵,杯,89.0,5720.0
茶飲,07007,紅茶拿鐵,杯,287.0,18590.0
茶飲,07008,鐵觀音粉粿奶茶,杯,41.0,3075.0
茶飲,07009,厚焙鐵觀音,杯,66.0,2970.0
茶飲,07010,厚焙鐵觀音奶茶,杯,182.0,10920.0
茶飲,07011,黃金蕎麥,杯,215.0,9540.0
茶飲,07013,黃金蕎麥奶茶,杯,118.0,6960.0
茶飲,07015,鐵觀音拿鐵,杯,83.0,5810.0
茶飲,07018,黃金粉粿喬麥,杯,172.0,10260.0
茶飲,07019,黃金粉粿厚奶茶,杯,59.0,4130.0
